,code,seed,model_name,test/ece,test/accuracy,test/negative_log_likelihood
0,1,0,Stoc Input,5.551444366574287,79.66746687889099,0.839764416217804
1,0,0,Deterministic,,,
2,0,0,Deterministic,5.736566334962845,79.12660241127014,0.8599053621292114
3,8192,0,Stoc Output,9.870503842830658,78.9963960647583,0.9371742606163025
4,16383,0,All Stoc,9.289930760860443,78.02484035491943,0.9436198472976685
5,8192,1,Stoc Output,10.237176716327667,78.55569124221802,0.9405287504196167
6,8192,2,Stoc Output,9.69117283821106,79.21674847602844,0.92230623960495
7,0,1,Deterministic,5.9605516493320465,79.02644276618958,0.8769623041152954
8,12288,0,Last 2 Stoc,7.605932652950287,79.06650900840759,0.8350868225097656
9,12288,1,Last 2 Stoc,7.670857012271881,79.03645634651184,0.8336046934127808
10,8193,2,,10.068187862634659,78.96634340286255,0.9393388032913208
11,12288,2,Last 2 Stoc,7.508176565170288,78.89623641967773,0.8343697786331177
12,8193,0,,10.033972561359406,78.94631624221802,0.9335082769393921
13,16383,1,All Stoc,10.008522868156433,77.51402258872986,0.9455404281616211
14,1,1,Stoc Input,5.9826090931892395,79.43710088729858,0.8626368641853333
15,1,2,Stoc Input,5.884356051683426,79.37700152397156,0.8816484212875366
16,0,2,Deterministic,5.298737809062004,79.84775900840759,0.8502915501594543
17,16383,2,All Stoc,9.991046786308289,77.52403616905212,0.9423020482063293
18,8193,1,,10.433634370565414,78.73597741127014,0.9438772201538086
